kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_prad_log
11972872,K04089.01,,FALSE POSITIVE,7.54,0.531106622,0.94,3.0293,5133.6,1781.0,2371.49,286.2,4978.0,4.539,0.762,296.34622,50.390789,15.169,2.1447610078004784
9899233,K04090.01,,FALSE POSITIVE,1.23,1.332547503,0.746,4.521,130.3,1719.0,2062.92,25.5,6077.0,4.471,0.999,295.16696,46.754341,15.164,0.8020015854720274
3103227,K04091.01,Kepler-1550 b,CONFIRMED,3.71,225.585245,0.066,11.166,754.9,348.0,3.48,18.6,5929.0,4.243,1.363,287.76456,38.294701,14.9,1.5496879080283263
4850961,K04092.01,Kepler-1551 b,CONFIRMED,2.74,24.4972683,0.817,5.43,449.1,722.0,64.25,19.5,6392.0,4.399,1.162,295.78552,39.907921,15.152,1.3190856114264407
3102309,K07643.01,,FALSE POSITIVE,0.71,4.20253859,0.937,5.389,31.5,1136.0,394.08,8.8,5596.0,4.343,1.015,287.45532,38.23959,13.598,0.5364933705145685
8521059,K04093.01,,FALSE POSITIVE,33.97,0.535578808,1.225,1.7973,193.6,2870.0,16161.27,38.3,6610.0,4.264,1.313,299.75021,44.561981,13.94,3.5544905510752844
5217574,K04151.01,,FALSE POSITIVE,1.19,0.89486317,0.65,2.657,172.0,1764.0,2296.25,16.1,5764.0,4.548,0.863,298.90012,40.303589,15.863,0.7839015438284094
7199060,K04152.01,,CANDIDATE,8.0,64.1862264,0.968,8.485,507.3,839.0,116.97,18.6,6951.0,3.766,2.758,291.38602,42.709129,12.972,2.1972245773362196
8439323,K04153.01,Kepler-1942 b,CONFIRMED,1.65,4.62602867,0.739,0.643,346.9,1012.0,247.34,14.7,5834.0,4.566,0.797,294.98059,44.425301,14.667,0.9745596399981308
4458082,K02303.02,Kepler-1181 c,CONFIRMED,1.83,8.93484887,0.888,2.579,135.9,1124.0,377.25,9.7,6688.0,4.304,1.347,289.74731,39.523453,13.827,1.0402767116551463
3230095,K07647.01,,FALSE POSITIVE,1.1,7.04716175,0.856,2.693,150.8,817.0,105.1,9.4,5496.0,4.592,0.776,290.0831,38.398472,15.13,0.7419373447293773
5551228,K04154.01,,FALSE POSITIVE,91.06,368.71479,1.9265,16.46,1210.0,236.0,0.73,10.9,5716.0,4.544,0.872,296.49731,40.765629,15.593,4.5224405383890955
11967788,K04021.02,,CANDIDATE,1.02,4.93211932,0.034,3.144,50.5,1372.0,837.01,7.5,6422.0,4.219,1.421,294.03436,50.371651,13.166,0.7030975114131134
7733731,K04022.01,,CANDIDATE,2.04,4.85819429,0.086,5.356,76.3,1685.0,1904.91,25.2,6109.0,3.78,2.326,283.12854,43.45686,13.269,1.1118575154181303
6862332,K04023.01,,FALSE POSITIVE,4.44,119.0192648,0.79,8.1,1977.0,350.0,3.53,31.1,5754.0,4.534,0.905,291.58517,42.367229,15.644,1.6937790608678513
10714072,K04024.01,Kepler-1541 b,CONFIRMED,1.95,8.40693068,0.015,1.866,167.1,1048.0,285.67,6.8,5365.0,4.02,1.533,283.78702,48.02956,13.801,1.0818051703517284
3110177,K07644.01,,CANDIDATE,0.81,3.39904814,0.596,2.922,69.6,1191.0,477.15,8.1,5766.0,4.444,0.929,289.84286,38.237049,14.803,0.5933268452777344
10992011,K04025.01,,FALSE POSITIVE,1.19,0.974479091,0.224,1.866,221.2,1513.0,1239.32,25.3,5043.0,4.502,0.819,298.53549,48.419479,14.655,0.7839015438284094
8128247,K04094.01,,FALSE POSITIVE,57.36,3.57017774,0.094,4.473,79.6,6119.0,331478.01,8.9,3812.0,0.93,69.001,300.60422,43.902946,13.334,4.066630723654585
6276994,K04095.01,,FALSE POSITIVE,0.77,1.10601182,0.532,2.577,52.9,1903.0,3093.39,15.5,6241.0,4.45,1.031,289.17761,41.695171,14.363,0.5709795465857378
9674564,K04096.01,,FALSE POSITIVE,1.21,6.873655305,0.08,3.5415,181.3,906.0,159.51,3.4,5668.0,4.492,0.912,300.4068,46.378941,14.046,0.7929925155296614
5942808,K02250.02,Kepler-1814 c,CONFIRMED,1.76,0.626281766,0.553,1.1812,433.1,1711.0,2011.27,31.0,4922.0,4.505,0.823,285.21667,41.282429,15.622,1.0152306797290584
3232249,K07648.01,,CANDIDATE,0.8,1.183505016,0.403,1.275,116.6,1293.0,658.87,10.0,4832.0,4.592,0.746,290.6864,38.355598,15.424,0.5877866649021191
5688683,K04097.01,Kepler-1939 b,CONFIRMED,0.99,2.790643481,0.787,0.6871,202.0,816.0,104.74,20.2,4353.0,4.681,0.603,285.69,40.99453,13.435,0.688134638736401
6607644,K04159.01,Kepler-1559 b,CONFIRMED,0.79,0.971915957,0.592,1.6023,73.7,1609.0,1591.27,16.7,5196.0,4.458,0.889,292.28659,42.07246,14.5,0.5822156198526637
7610663,K04160.01,Kepler-1560 b,CONFIRMED,0.9,3.03196812,0.287,1.723,81.5,1269.0,614.2,15.8,5755.0,4.402,0.993,292.78461,43.215981,13.421,0.6418538861723948
5565707,K04161.01,,FALSE POSITIVE,5.27,1.2940561,0.394,0.97,51.2,4465.0,93976.84,6.4,6635.0,3.092,7.146,299.42017,40.73838,12.855,1.8357763546448294
1293031,K04162.01,,FALSE POSITIVE,9.19,0.53936593,0.988,5.434,145.0,5016.0,149399.93,57.6,6341.0,3.301,5.302,291.02097,36.903648,12.915,2.321406847234633
2859299,K07640.01,,FALSE POSITIVE,1.48,0.643703667,0.036,0.801,172.0,2358.0,7305.66,40.3,6161.0,4.362,1.114,292.88342,38.074951,13.791,0.9082585601768908
7449554,K02357.02,,CANDIDATE,3.79,15.9042402,0.876,2.093,444.8,863.0,131.11,13.3,5583.0,4.077,1.53,293.20377,43.057011,15.61,1.5665304114228238
4067110,K04026.01,,FALSE POSITIVE,168.34,0.735146413,1.192,5.053,275.4,5366.0,195250.9,78.0,6611.0,3.112,7.435,294.08896,39.128101,12.855,5.131908528214131
8694309,K04027.01,,FALSE POSITIVE,0.9,0.827351796,0.544,2.1885,44.7,2208.0,5583.73,30.6,5609.0,4.141,1.31,293.8067,44.867352,12.9,0.6418538861723948
8282651,K02193.02,,CANDIDATE,1.32,4.16288745,0.4265,0.678,391.7,763.0,80.23,12.0,4478.0,4.615,0.651,284.10779,44.245811,15.658,0.8415671856782186
